OID,NCOORDS,LENGTH,MID,NCO.,LEN,MEAN DIST,MIN DIST,MAX DIST
58,92,90.9998,1050,126,155.574,213.907,175.414,253.492
58,92,90.9998,17,146,173.141,214.801,169.859,259.695
58,92,90.9998,1107,66,71.0678,215.654,213.822,217.284
58,92,90.9998,2112,21,18.9613,216.346,206.886,225.544
58,92,90.9998,88,138,63.0101,217.28,211.569,225.387
58,92,90.9998,1140,39,40.6222,218.602,214.094,226.944
58,92,90.9998,2139,27,31.1545,218.607,218.103,219.524
58,92,90.9998,2093,82,83.5901,218.681,197.005,244.418
58,92,90.9998,1052,109,112.732,219.764,180.6,259.856
58,92,90.9998,1148,73,60.5769,222.635,217.989,232.627
58,92,90.9998,1054,175,214.563,226.533,181.767,271.369
58,92,90.9998,1041,191,193.596,227.202,206.795,251.142
58,92,90.9998,1096,72,89.3187,229.018,204.208,257.444
58,92,90.9998,1113,131,171.257,234.83,211.743,262.574
58,92,90.9998,143,82,76.1914,235.02,201.552,270.342
58,92,90.9998,1164,40,25.1564,235.676,216.544,254.114
58,92,90.9998,1157,82,111.37,236.47,204.844,269.102
58,92,90.9998,2029,113,120.839,240.094,200.721,280.242
58,92,90.9998,1051,91,98.4304,241.116,202.215,280.852
58,92,90.9998,15,98,112.255,242.53,202.254,283.423
58,92,90.9998,2095,50,65.8503,242.648,240.638,247.519
58,92,90.9998,7,124,126.188,243.221,222.493,267.163
58,92,90.9998,112,111,145.216,243.675,217.17,274.185
58,92,90.9998,2073,136,173.154,244.79,199.874,289.651
58,92,90.9998,1222,102,100.403,245.395,240.637,250.029
58,92,90.9998,114,112,156.28,247.003,213.047,283.587
58,92,90.9998,2052,171,165.556,250.125,229.831,273.561
58,92,90.9998,2140,16,16.3319,253.266,253.093,253.566
58,92,90.9998,1040,192,124.824,254.253,244.188,267.07
58,92,90.9998,2094,158,89.4101,254.26,244.764,266.334
58,92,90.9998,1147,89,73.8155,254.434,248.194,263.837
58,92,90.9998,113,154,214.338,254.686,218.478,293.023
58,92,90.9998,8,162,63.6186,258.013,250.599,267.089
58,92,90.9998,1095,93,92.1515,258.827,235.266,285.089
58,92,90.9998,6,141,159.415,259.067,234.644,286.101
58,92,90.9998,18,136,178.728,259.83,214.892,304.718
58,92,90.9998,2096,76,12.236,260.891,255.88,268.71
58,92,90.9998,2055,168,235.002,264.465,228.183,302.812
58,92,90.9998,1058,117,138.496,266.321,221.631,311.111
58,92,90.9998,1114,100,129.695,268.729,250.53,291.763
58,92,90.9998,1182,88,100.607,268.744,255.894,285.857
58,92,90.9998,1151,42,53.7683,271.185,260.01,279.964
58,92,90.9998,1112,153,205.51,271.728,236.087,309.526
58,92,90.9998,2056,54,70.8811,271.789,258.389,282.537
58,92,90.9998,2167,40,34.5096,273.846,256.066,290.301
58,92,90.9998,10,235,140.145,274.262,266.678,283.29
58,92,90.9998,1053,142,183.664,275.498,230.606,320.329
58,92,90.9998,1241,1359,1096.17,276.318,248.49,305.089
58,92,90.9998,2119,40,41.2498,277.12,258.754,294.35
58,92,90.9998,1042,292,163.155,278.865,274.419,283.053
58,92,90.9998,1094,105,119.036,280.26,254.09,308.61
58,92,90.9998,98,122,107.006,280.516,272.341,294.233
58,92,90.9998,111,169,170.692,281.417,264.171,303.44
58,92,90.9998,2048,135,128.262,281.417,273.055,295.298
58,92,90.9998,1158,60,53.0877,281.573,253.83,308.189
58,92,90.9998,1104,94,82.4901,282.085,273.019,296.614
58,92,90.9998,2082,166,72.1197,282.538,277.683,286.672
58,92,90.9998,2072,164,222.649,284.978,240.128,329.762
58,92,90.9998,1191,105,108.942,288.04,244.516,331.993
58,92,90.9998,115,161,222.705,289.307,252.151,328.255
58,92,90.9998,1047,160,55.0992,292.676,289.083,295.785
58,92,90.9998,1181,72,55.5074,294.605,289.912,299.19
58,92,90.9998,1220,45,59.9249,300.335,284.996,313.199
58,92,90.9998,2143,70,63.9481,303.514,298.177,308.201
58,92,90.9998,1221,53,74.4605,308.977,291.011,324.387
58,92,90.9998,2120,46,29.2149,309.152,287.08,330.376
58,92,90.9998,2085,66,44.1174,309.302,299.739,324.267
58,92,90.9998,1111,34,47.5366,311.208,298.504,322.575
58,92,90.9998,2152,61,49.1335,312.457,311.262,313.816
